"﻿""Date""",Price,Open,High,Low,Vol.,Change %
03/22/2019,279.25,283.22,283.80,279.18,122.66M,-1.92%
03/21/2019,284.73,280.64,285.18,280.59,79.55M,1.13%
03/20/2019,281.55,282.16,283.50,280.32,84.61M,-0.30%
03/19/2019,282.40,283.51,284.36,281.41,90.27M,0.02%
03/18/2019,282.33,281.55,282.66,281.30,62.20M,0.36%
03/15/2019,281.31,280.54,282.21,280.33,81.31M,0.05%
03/14/2019,281.16,281.37,281.84,280.67,67.52M,-0.06%
03/13/2019,281.34,280.48,282.38,280.30,80.64M,0.66%
03/12/2019,279.49,279.06,280.07,278.85,79.67M,0.38%
03/11/2019,278.44,275.26,278.62,275.23,65.10M,1.45%
03/08/2019,274.46,272.94,274.65,272.42,85.80M,-0.20%
03/07/2019,275.01,276.83,276.99,274.07,94.89M,-0.84%
03/06/2019,277.33,279.15,279.16,276.97,75.04M,-0.61%
03/05/2019,279.02,279.54,279.76,278.41,59.11M,-0.14%
03/04/2019,279.40,281.60,281.87,276.84,106.49M,-0.36%
03/01/2019,280.42,280.44,280.88,278.82,78.88M,0.62%
02/28/2019,278.68,278.96,279.45,278.32,69.27M,-0.19%
02/27/2019,279.20,278.52,279.59,277.48,56.92M,-0.04%
02/26/2019,279.32,279.13,280.30,278.90,56.84M,-0.07%
02/25/2019,279.52,280.73,281.31,279.43,69.03M,0.14%
02/22/2019,279.14,278.11,279.36,277.40,78.11M,0.62%
02/21/2019,277.42,277.70,278.10,276.35,64.21M,-0.36%
02/20/2019,278.41,277.81,278.92,277.25,76.61M,0.20%
02/19/2019,277.85,276.48,278.58,276.47,59.12M,0.17%
02/15/2019,277.37,276.36,277.41,276.13,97.09M,1.09%
02/14/2019,274.38,273.78,275.64,272.87,83.23M,-0.22%
02/13/2019,274.99,275.03,275.93,274.56,65.28M,0.32%
02/12/2019,274.10,272.42,274.52,272.34,72.27M,1.29%
02/11/2019,270.62,271.20,271.49,270.03,68.02M,0.06%
02/08/2019,270.47,268.75,270.58,267.83,75.79M,0.12%
02/07/2019,270.14,270.94,271.55,268.29,95.48M,-0.95%
02/06/2019,272.74,272.79,273.34,271.92,58.35M,-0.13%
02/05/2019,273.10,272.44,273.44,271.88,79.55M,0.42%
02/04/2019,271.96,270.11,272.03,269.36,60.74M,0.70%
02/01/2019,270.06,270.15,271.20,269.18,85.78M,0.05%
01/31/2019,269.93,267.51,270.47,267.27,104.01M,0.88%
01/30/2019,267.58,265.10,268.52,264.25,92.47M,1.58%
01/29/2019,263.41,263.92,264.55,262.48,66.14M,-0.13%
01/28/2019,263.76,263.39,263.83,261.79,85.61M,-0.76%
01/25/2019,265.78,265.61,266.70,263.66,96.88M,0.85%
01/24/2019,263.55,263.21,264.20,262.08,59.20M,0.05%
01/23/2019,263.41,264.01,264.79,260.66,86.03M,0.21%
01/22/2019,262.86,264.82,265.06,261.06,115.53M,-1.35%
01/18/2019,266.46,264.98,266.98,263.00,127.90M,1.33%
01/17/2019,262.96,260.01,263.92,259.96,96.12M,0.76%
01/16/2019,260.98,260.83,261.97,260.60,77.64M,0.24%
01/15/2019,260.35,257.82,260.70,257.81,85.21M,1.15%
01/14/2019,257.40,256.86,258.30,256.41,70.91M,-0.61%
01/11/2019,258.98,257.68,259.01,257.03,73.86M,0.04%
